institution,canvas_host,country,curated
American University of Sharjah,canvas.aus.edu,AE,1
Adelaide University,learn.adelaide.edu.au,AU,0
Ascham School,classes.ascham.nsw.edu.au,AU,0
Australian Catholic University,canvas.acu.edu.au,AU,1
Australian Christian College,learning.acc.edu.au,AU,0
Australian Institute of Police Management,myaipm.aipm.edu.au,AU,0
Australian National University,canvas.anu.edu.au,AU,1
Avondale University,learning.avondale.edu.au,AU,0
Bastow Institute of Educational Leadership,lms.educationapps.vic.gov.au,AU,0
Canterbury Institute of Management,elearn.ciom.edu.au,AU,0
Catholic Schools Parramatta Diocese CSPD,canvas.parra.catholic.edu.au,AU,0
Curtin University,learning.curtin.edu.au,AU,1
Edith Cowan University,courses.ecu.edu.au,AU,1
Flinders University,canvas.flinders.edu.au,AU,1
Griffith University,lms.griffith.edu.au,AU,1
JMC Academy,canvas.jmc.edu.au,AU,0
Newington College,canvas.newington.nsw.edu.au,AU,0
Northern Beaches Christian School,canvas.nbcs.nsw.edu.au,AU,0
Queensland University of Technology,canvas.qut.edu.au,AU,1
Sustainability Learning Centre @ Hobart College - Tas,canvas.education.tas.gov.au,AU,0
Swinburne University of Technology,swinburne.instructure.com,AU,1
The King's School,canvas.kings.edu.au,AU,0
The Pittwater House School,canvas.tphs.nsw.edu.au,AU,0
Trades Norwest Anglican Senior College,learn.sasc.nsw.edu.au,AU,0
University of Adelaide,myuni.adelaide.edu.au,AU,1
University of Canberra,uclearn.canberra.edu.au,AU,1
University of Melbourne,canvas.lms.unimelb.edu.au,AU,1
University of Newcastle,canvas.newcastle.edu.au,AU,1
University of Sydney,canvas.sydney.edu.au,AU,1
University of Technology Sydney,canvas.uts.edu.au,AU,1
UNSW College,canvas.unswcollege.edu.au,AU,0
UTS College,canvas.utscollege.edu.au,AU,0
Western Sydney University (Online),canvas.westernsydneyonline.edu.au,AU,0
Y Schools QLD,learning.yschools.qld.edu.au,AU,0
Åland University of Applied Sciences,canvas.ha.ax,AX,0
North South University,northsouth.instructure.com,BD,1
Karel de Grote Hogeschool,canvas.kdg.be,BE,0
VUB - Vrije Universiteit Brussel,canvas.vub.be,BE,0
Universiti Brunei Darussalam,ubd.instructure.com,BN,1
Escola Superior de Propaganda e Marketing,canvas.espm.br,BR,1
Faculdade Ari de Sa,faculdadearidesa.instructure.com,BR,0
Faculdade Católica Paulista,ucaead.instructure.com,BR,0
FACULDADE DE CIÊNCIAS MÉDICAS DA PARAÍBA,afya.instructure.com,BR,0
Faculdade de Medicina de Barbacena,fame.instructure.com,BR,0
Faculdade Internacional de Teologia Reformada,fitref.instructure.com,BR,0
FDV - Faculdade de Direito de Vitória,fdvdigital.instructure.com,BR,0
Pontifícia Universidade Católica de Campinas,puc-campinas.instructure.com,BR,0
Pontifícia Universidade Católica de Minas Gerais,pucminas.instructure.com,BR,1
Pontifícia Universidade Católica do Paraná - PUCPR,pucpr.instructure.com,BR,0
Senac,senac.instructure.com,BR,1
Ulbra - Universidade Luterana do Brasil,ulbra.instructure.com,BR,0
Universidade Fernando Pessoa - University Fernando Pessoa,ufp.instructure.com,BR,0
Universidade Jorge Amado - Unijorge,unijorge.instructure.com,BR,0
Universidade Paulista,unip.instructure.com,BR,1
Universidade Veiga de Almeida,uva.instructure.com,BR,1
Academy of Learning Career College,mynew.aolcc.ca,CA,0
OntarioTech University,learn.ontariotechu.ca,CA,0
Simon Fraser University,canvas.sfu.ca,CA,1
University of Alberta,canvas.ualberta.ca,CA,1
University of British Columbia,canvas.ubc.ca,CA,1
University of Saskatchewan,canvas.usask.ca,CA,1
University of Toronto,q.utoronto.ca,CA,1
Universität St. Gallen (University of St Gallen),learning.unisg.ch,CH,1
Facultad de Economía y Negocios - FEN - Universidad de Chile,canvas.fen.uchile.cl,CL,0
Pontificia Universidad Catolica de Chile,cursos.canvas.uc.cl,CL,1
Universidad Andres Bello,unab.instructure.com,CL,1
Universidad Autonoma de Chile,canvas.uautonoma.cl,CL,1
Universidad de los Andes Chile,uandes.instructure.com,CL,1
Universidad de Santiago de Chile,usach.instructure.com,CL,1
Universidad Santo Tomas - Sede,sedeonline.santotomas.cl,CL,0
UNITEC Colombia,unitec.instructure.com,CO,1
Graduate Campus Hochschule Aalen,graduatecampus.instructure.com,DE,0
Hochschule Aalen - Lernende/Lehrende,aalen.instructure.com,DE,0
Hochschule Fresenius,canvas.crf-education.com,DE,0
Technische Universität Nürnberg (University of Technology Nuremberg),canvas.utn.de,DE,1
